ap_id,floor,region,coverage_cells,centroid_x,centroid_y,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,spatial_information
64,1,Floor_1_Zone_64,80,103.5,262.5,100,107,258,267,"Centroid: (103.50, 262.50), Box: X[100-107] Y[258-267], Area: 80 cells"
65,1,Floor_1_Zone_65,136,104.1,275.49,100,110,268,282,"Centroid: (104.10, 275.49), Box: X[100-110] Y[268-282], Area: 136 cells"
66,1,Floor_1_Zone_66,171,113.42,273.52,107,118,266,282,"Centroid: (113.42, 273.52), Box: X[107-118] Y[266-282], Area: 171 cells"
67,1,Floor_1_Zone_67,88,113.0,261.5,108,118,258,265,"Centroid: (113.00, 261.50), Box: X[108-118] Y[258-265], Area: 88 cells"
68,1,Floor_1_Zone_68,151,113.09,250.73,107,118,244,257,"Centroid: (113.09, 250.73), Box: X[107-118] Y[244-257], Area: 151 cells"
69,2,Floor_2_Zone_69,126,104.84,249.06,100,112,244,255,"Centroid: (104.84, 249.06), Box: X[100-112] Y[244-255], Area: 126 cells"
70,2,Floor_2_Zone_70,102,104.16,261.03,100,109,256,266,"Centroid: (104.16, 261.03), Box: X[100-109] Y[256-266], Area: 102 cells"
71,2,Floor_2_Zone_71,156,104.38,274.65,100,109,267,282,"Centroid: (104.38, 274.65), Box: X[100-109] Y[267-282], Area: 156 cells"
72,2,Floor_2_Zone_72,148,113.86,274.34,109,118,267,282,"Centroid: (113.86, 274.34), Box: X[109-118] Y[267-282], Area: 148 cells"
73,2,Floor_2_Zone_73,76,113.74,262.61,109,118,259,266,"Centroid: (113.74, 262.61), Box: X[109-118] Y[259-266], Area: 76 cells"
74,2,Floor_2_Zone_74,133,113.95,251.66,108,118,244,258,"Centroid: (113.95, 251.66), Box: X[108-118] Y[244-258], Area: 133 cells"
75,0,Floor_0_Zone_75,209,109.0,293.0,100,118,288,298,"Centroid: (109.00, 293.00), Box: X[100-118] Y[288-298], Area: 209 cells"
76,0,Floor_0_Zone_76,171,109.0,303.0,100,118,299,307,"Centroid: (109.00, 303.00), Box: X[100-118] Y[299-307], Area: 171 cells"
77,0,Floor_0_Zone_77,361,109.0,317.0,100,118,308,326,"Centroid: (109.00, 317.00), Box: X[100-118] Y[308-326], Area: 361 cells"
78,1,Floor_1_Zone_78,115,103.62,294.36,100,108,288,301,"Centroid: (103.62, 294.36), Box: X[100-108] Y[288-301], Area: 115 cells"
79,1,Floor_1_Zone_79,64,103.5,305.5,100,107,302,309,"Centroid: (103.50, 305.50), Box: X[100-107] Y[302-309], Area: 64 cells"
80,1,Floor_1_Zone_80,136,103.5,318.0,100,107,310,326,"Centroid: (103.50, 318.00), Box: X[100-107] Y[310-326], Area: 136 cells"
81,1,Floor_1_Zone_81,187,113.0,318.0,108,118,310,326,"Centroid: (113.00, 318.00), Box: X[108-118] Y[310-326], Area: 187 cells"
82,1,Floor_1_Zone_82,88,113.0,305.5,108,118,302,309,"Centroid: (113.00, 305.50), Box: X[108-118] Y[302-309], Area: 88 cells"
83,1,Floor_1_Zone_83,151,113.1,294.61,108,118,288,301,"Centroid: (113.10, 294.61), Box: X[108-118] Y[288-301], Area: 151 cells"
84,2,Floor_2_Zone_84,117,103.7,294.24,100,108,288,301,"Centroid: (103.70, 294.24), Box: X[100-108] Y[288-301], Area: 117 cells"
85,2,Floor_2_Zone_85,72,103.5,306.0,100,107,302,310,"Centroid: (103.50, 306.00), Box: X[100-107] Y[302-310], Area: 72 cells"
86,2,Floor_2_Zone_86,128,103.5,318.5,100,107,311,326,"Centroid: (103.50, 318.50), Box: X[100-107] Y[311-326], Area: 128 cells"
87,2,Floor_2_Zone_87,187,113.0,318.0,108,118,310,326,"Centroid: (113.00, 318.00), Box: X[108-118] Y[310-326], Area: 187 cells"
88,2,Floor_2_Zone_88,88,113.0,305.5,108,118,302,309,"Centroid: (113.00, 305.50), Box: X[108-118] Y[302-309], Area: 88 cells"
89,2,Floor_2_Zone_89,149,113.16,294.7,107,118,288,301,"Centroid: (113.16, 294.70), Box: X[107-118] Y[288-301], Area: 149 cells"
90,0,Floor_0_Zone_90,180,79.5,82.17,71,85,74,89,"Centroid: (79.50, 82.17), Box: X[71-85] Y[74-89], Area: 180 cells"
91,0,Floor_0_Zone_91,186,72.3,70.98,67,82,62,79,"Centroid: (72.30, 70.98), Box: X[67-82] Y[62-79], Area: 186 cells"
92,0,Floor_0_Zone_92,186,80.54,62.32,72,85,51,73,"Centroid: (80.54, 62.32), Box: X[72-85] Y[51-73], Area: 186 cells"
93,0,Floor_0_Zone_93,144,73.36,54.19,67,85,50,61,"Centroid: (73.36, 54.19), Box: X[67-85] Y[50-61], Area: 144 cells"
94,0,Floor_0_Zone_94,64,69.66,84.88,67,74,79,89,"Centroid: (69.66, 84.88), Box: X[67-74] Y[79-89], Area: 64 cells"
95,1,Floor_1_Zone_95,202,79.09,80.7,68,85,72,89,"Centroid: (79.09, 80.70), Box: X[68-85] Y[72-89], Area: 202 cells"
96,1,Floor_1_Zone_96,117,79.44,64.85,71,85,60,71,"Centroid: (79.44, 64.85), Box: X[71-85] Y[60-71], Area: 117 cells"
97,1,Floor_1_Zone_97,134,72.51,71.06,67,83,65,77,"Centroid: (72.51, 71.06), Box: X[67-83] Y[65-77], Area: 134 cells"
98,1,Floor_1_Zone_98,119,70.56,56.46,67,75,50,65,"Centroid: (70.56, 56.46), Box: X[67-75] Y[50-65], Area: 119 cells"
99,1,Floor_1_Zone_99,110,80.58,54.85,75,85,50,61,"Centroid: (80.58, 54.85), Box: X[75-85] Y[50-61], Area: 110 cells"
100,1,Floor_1_Zone_100,78,70.67,85.33,67,78,78,89,"Centroid: (70.67, 85.33), Box: X[67-78] Y[78-89], Area: 78 cells"
101,2,Floor_2_Zone_101,87,70.4,54.48,67,77,50,62,"Centroid: (70.40, 54.48), Box: X[67-77] Y[50-62], Area: 87 cells"
102,2,Floor_2_Zone_102,175,79.14,57.38,70,85,50,64,"Centroid: (79.14, 57.38), Box: X[70-85] Y[50-64], Area: 175 cells"
103,2,Floor_2_Zone_103,129,71.52,68.69,67,78,62,75,"Centroid: (71.52, 68.69), Box: X[67-78] Y[62-75], Area: 129 cells"
104,2,Floor_2_Zone_104,119,81.06,71.05,75,85,64,77,"Centroid: (81.06, 71.05), Box: X[75-85] Y[64-77], Area: 119 cells"
105,2,Floor_2_Zone_105,136,71.58,81.73,67,79,76,89,"Centroid: (71.58, 81.73), Box: X[67-79] Y[76-89], Area: 136 cells"
106,2,Floor_2_Zone_106,114,80.51,84.27,73,85,78,89,"Centroid: (80.51, 84.27), Box: X[73-85] Y[78-89], Area: 114 cells"
107,0,Floor_0_Zone_107,239,79.19,136.96,68,85,129,150,"Centroid: (79.19, 136.96), Box: X[68-85] Y[129-150], Area: 239 cells"
108,0,Floor_0_Zone_108,179,71.74,142.89,67,81,129,150,"Centroid: (71.74, 142.89), Box: X[67-81] Y[129-150], Area: 179 cells"
109,1,Floor_1_Zone_109,267,78.5,137.02,67,85,129,150,"Centroid: (78.50, 137.02), Box: X[67-85] Y[129-150], Area: 267 cells"
110,1,Floor_1_Zone_110,151,71.58,143.89,67,81,132,150,"Centroid: (71.58, 143.89), Box: X[67-81] Y[132-150], Area: 151 cells"
111,2,Floor_2_Zone_111,217,76.43,134.36,67,85,129,142,"Centroid: (76.43, 134.36), Box: X[67-85] Y[129-142], Area: 217 cells"
112,2,Floor_2_Zone_112,118,71.26,144.82,67,77,137,150,"Centroid: (71.26, 144.82), Box: X[67-77] Y[137-150], Area: 118 cells"
113,2,Floor_2_Zone_113,83,81.6,145.37,77,85,139,150,"Centroid: (81.60, 145.37), Box: X[77-85] Y[139-150], Area: 83 cells"
114,0,Floor_0_Zone_114,246,77.46,170.56,67,85,159,177,"Centroid: (77.46, 170.56), Box: X[67-85] Y[159-177], Area: 246 cells"
115,0,Floor_0_Zone_115,172,73.91,160.69,67,85,156,170,"Centroid: (73.91, 160.69), Box: X[67-85] Y[156-170], Area: 172 cells"
116,1,Floor_1_Zone_116,418,76.0,166.5,67,85,156,177,"Centroid: (76.00, 166.50), Box: X[67-85] Y[156-177], Area: 418 cells"
117,2,Floor_2_Zone_117,282,77.45,163.45,67,85,156,176,"Centroid: (77.45, 163.45), Box: X[67-85] Y[156-176], Area: 282 cells"
118,2,Floor_2_Zone_118,136,72.99,172.83,67,85,164,177,"Centroid: (72.99, 172.83), Box: X[67-85] Y[164-177], Area: 136 cells"
119,0,Floor_0_Zone_119,418,76.0,227.5,67,85,217,238,"Centroid: (76.00, 227.50), Box: X[67-85] Y[217-238], Area: 418 cells"
120,1,Floor_1_Zone_120,219,71.51,254.04,67,77,244,265,"Centroid: (71.51, 254.04), Box: X[67-77] Y[244-265], Area: 219 cells"
121,1,Floor_1_Zone_121,199,80.94,255.01,76,85,244,265,"Centroid: (80.94, 255.01), Box: X[76-85] Y[244-265], Area: 199 cells"
122,2,Floor_2_Zone_122,196,71.0,255.11,67,76,244,265,"Centroid: (71.00, 255.11), Box: X[67-76] Y[244-265], Area: 196 cells"
123,2,Floor_2_Zone_123,222,80.41,253.96,74,85,244,265,"Centroid: (80.41, 253.96), Box: X[74-85] Y[244-265], Area: 222 cells"
124,0,Floor_0_Zone_124,399,76.0,316.0,67,85,306,326,"Centroid: (76.00, 316.00), Box: X[67-85] Y[306-326], Area: 399 cells"
125,1,Floor_1_Zone_125,197,77.58,311.12,67,85,306,320,"Centroid: (77.58, 311.12), Box: X[67-85] Y[306-320], Area: 197 cells"
126,1,Floor_1_Zone_126,202,74.46,320.76,67,85,311,326,"Centroid: (74.46, 320.76), Box: X[67-85] Y[311-326], Area: 202 cells"
127,2,Floor_2_Zone_127,126,74.67,309.02,67,85,306,314,"Centroid: (74.67, 309.02), Box: X[67-85] Y[306-314], Area: 126 cells"
128,2,Floor_2_Zone_128,273,76.61,319.22,67,85,310,326,"Centroid: (76.61, 319.22), Box: X[67-85] Y[310-326], Area: 273 cells"
129,0,Floor_0_Zone_129,286,44.88,24.7,35,54,18,32,"Centroid: (44.88, 24.70), Box: X[35-54] Y[18-32], Area: 286 cells"
130,0,Floor_0_Zone_130,193,49.33,41.07,42,54,33,52,"Centroid: (49.33, 41.07), Box: X[42-54] Y[33-52], Area: 193 cells"
131,0,Floor_0_Zone_131,253,39.31,44.58,35,47,29,59,"Centroid: (39.31, 44.58), Box: X[35-47] Y[29-59], Area: 253 cells"
132,0,Floor_0_Zone_132,300,46.28,61.57,35,54,52,71,"Centroid: (46.28, 61.57), Box: X[35-54] Y[52-71], Area: 300 cells"
133,0,Floor_0_Zone_133,186,38.94,76.14,35,46,65,89,"Centroid: (38.94, 76.14), Box: X[35-46] Y[65-89], Area: 186 cells"
134,0,Floor_0_Zone_134,141,48.81,78.55,41,54,71,85,"Centroid: (48.81, 78.55), Box: X[41-54] Y[71-85], Area: 141 cells"
135,0,Floor_0_Zone_135,421,44.89,95.91,35,54,84,106,"Centroid: (44.89, 95.91), Box: X[35-54] Y[84-106], Area: 421 cells"
136,1,Floor_1_Zone_136,484,44.2,29.63,35,54,18,43,"Centroid: (44.20, 29.63), Box: X[35-54] Y[18-43], Area: 484 cells"
137,1,Floor_1_Zone_137,459,45.3,53.22,35,54,40,67,"Centroid: (45.30, 53.22), Box: X[35-54] Y[40-67], Area: 459 cells"
138,1,Floor_1_Zone_138,210,40.68,70.94,35,52,62,83,"Centroid: (40.68, 70.94), Box: X[35-52] Y[62-83], Area: 210 cells"
