AP_ID,Floor,Region,Spatial_Info
106,2,Zone_AP_106,"Centroid: (80.51, 84.27), Box: X[73-85] Y[78-89], Area: 114 cells, Contiguous"
107,0,Zone_AP_107,"Centroid: (79.19, 136.96), Box: X[68-85] Y[129-150], Area: 239 cells, Contiguous"
108,0,Zone_AP_108,"Centroid: (71.74, 142.89), Box: X[67-81] Y[129-150], Area: 179 cells, Contiguous"
109,1,Zone_AP_109,"Centroid: (78.50, 137.02), Box: X[67-85] Y[129-150], Area: 267 cells, Contiguous"
110,1,Zone_AP_110,"Centroid: (71.58, 143.89), Box: X[67-81] Y[132-150], Area: 151 cells, Contiguous"
111,2,Zone_AP_111,"Centroid: (76.43, 134.36), Box: X[67-85] Y[129-142], Area: 217 cells, Contiguous"
112,2,Zone_AP_112,"Centroid: (71.26, 144.82), Box: X[67-77] Y[137-150], Area: 118 cells, Contiguous"
113,2,Zone_AP_113,"Centroid: (81.60, 145.37), Box: X[77-85] Y[139-150], Area: 83 cells, Contiguous"
114,0,Zone_AP_114,"Centroid: (77.46, 170.56), Box: X[67-85] Y[159-177], Area: 246 cells, Contiguous"
115,0,Zone_AP_115,"Centroid: (73.91, 160.69), Box: X[67-85] Y[156-170], Area: 172 cells, Contiguous"
116,1,Zone_AP_116,"Centroid: (76.00, 166.50), Box: X[67-85] Y[156-177], Area: 418 cells, Contiguous"
117,2,Zone_AP_117,"Centroid: (77.45, 163.45), Box: X[67-85] Y[156-176], Area: 282 cells, Contiguous"
118,2,Zone_AP_118,"Centroid: (72.99, 172.83), Box: X[67-85] Y[164-177], Area: 136 cells, Contiguous"
119,0,Zone_AP_119,"Centroid: (76.00, 227.50), Box: X[67-85] Y[217-238], Area: 418 cells, Contiguous"
120,1,Zone_AP_120,"Centroid: (71.51, 254.04), Box: X[67-77] Y[244-265], Area: 219 cells, Contiguous"
121,1,Zone_AP_121,"Centroid: (80.94, 255.01), Box: X[76-85] Y[244-265], Area: 199 cells, Contiguous"
122,2,Zone_AP_122,"Centroid: (71.00, 255.11), Box: X[67-76] Y[244-265], Area: 196 cells, Contiguous"
123,2,Zone_AP_123,"Centroid: (80.41, 253.96), Box: X[74-85] Y[244-265], Area: 222 cells, Contiguous"
124,0,Zone_AP_124,"Centroid: (76.00, 316.00), Box: X[67-85] Y[306-326], Area: 399 cells, Contiguous"
125,1,Zone_AP_125,"Centroid: (77.58, 311.12), Box: X[67-85] Y[306-320], Area: 197 cells, Contiguous"
126,1,Zone_AP_126,"Centroid: (74.46, 320.76), Box: X[67-85] Y[311-326], Area: 202 cells, Contiguous"
127,2,Zone_AP_127,"Centroid: (74.67, 309.02), Box: X[67-85] Y[306-314], Area: 126 cells, Contiguous"
128,2,Zone_AP_128,"Centroid: (76.61, 319.22), Box: X[67-85] Y[310-326], Area: 273 cells, Contiguous"
129,0,Zone_AP_129,"Centroid: (44.88, 24.70), Box: X[35-54] Y[18-32], Area: 286 cells, Contiguous"
130,0,Zone_AP_130,"Centroid: (49.33, 41.07), Box: X[42-54] Y[33-52], Area: 193 cells, Contiguous"
