timestamp,scenario,ap_id,previous_state,new_state,current_users,predicted_users,transition_reason
2023-06-16 14:30:19,ORACLE_QOS,107,MODERATE,HIGH,7.0,12.0,Oracle ground truth future (12.0)
2023-06-16 17:36:03,ORACLE_QOS,107,HIGH,MODERATE,7.0,5.0,Oracle ground truth future (5.0)
2023-06-16 19:27:15,ORACLE_QOS,107,MODERATE,NORMAL,3.0,3.0,Oracle ground truth future (3.0)
2023-06-08 07:06:57,ORACLE_QOS,125,NORMAL,MODERATE,2.0,6.0,Oracle ground truth future (6.0)
2023-06-08 10:17:28,ORACLE_QOS,125,MODERATE,HIGH,5.0,10.0,Oracle ground truth future (10.0)
2023-06-08 11:40:04,ORACLE_QOS,125,HIGH,CRITICAL,7.0,26.0,Oracle ground truth future (26.0)
2023-06-08 14:49:32,ORACLE_QOS,125,CRITICAL,NORMAL,3.0,3.0,Oracle ground truth future (3.0)
2023-06-08 15:06:10,ORACLE_QOS,125,NORMAL,MODERATE,3.0,8.0,Oracle ground truth future (8.0)
2023-06-08 15:22:35,ORACLE_QOS,125,MODERATE,HIGH,8.0,11.0,Oracle ground truth future (11.0)
2023-06-08 16:46:20,ORACLE_QOS,125,HIGH,MODERATE,9.0,5.0,Oracle ground truth future (5.0)
2023-06-08 19:53:04,ORACLE_QOS,125,MODERATE,NORMAL,2.0,2.0,Oracle ground truth future (2.0)
2023-06-09 08:15:12,ORACLE_QOS,125,NORMAL,MODERATE,0.0,7.0,Oracle ground truth future (7.0)
2023-06-09 09:46:33,ORACLE_QOS,125,MODERATE,HIGH,8.0,14.0,Oracle ground truth future (14.0)
2023-06-09 11:57:08,ORACLE_QOS,125,HIGH,MODERATE,3.0,7.0,Oracle ground truth future (7.0)
2023-06-09 16:11:51,ORACLE_QOS,125,MODERATE,NORMAL,1.0,3.0,Oracle ground truth future (3.0)
2023-06-09 17:03:02,ORACLE_QOS,125,NORMAL,MODERATE,1.0,5.0,Oracle ground truth future (5.0)
2023-06-09 18:29:16,ORACLE_QOS,125,MODERATE,NORMAL,2.0,2.0,Oracle ground truth future (2.0)
2023-06-12 07:25:16,ORACLE_QOS,125,NORMAL,MODERATE,3.0,7.0,Oracle ground truth future (7.0)
2023-06-12 09:41:53,ORACLE_QOS,125,MODERATE,HIGH,8.0,11.0,Oracle ground truth future (11.0)
2023-06-12 10:58:52,ORACLE_QOS,125,HIGH,CRITICAL,12.0,24.0,Oracle ground truth future (24.0)
2023-06-12 14:35:46,ORACLE_QOS,125,CRITICAL,NORMAL,5.0,3.0,Oracle ground truth future (3.0)
2023-06-12 15:52:53,ORACLE_QOS,125,NORMAL,MODERATE,3.0,7.0,Oracle ground truth future (7.0)
2023-06-12 18:18:04,ORACLE_QOS,125,MODERATE,NORMAL,2.0,3.0,Oracle ground truth future (3.0)
2023-06-13 07:08:17,ORACLE_QOS,125,NORMAL,MODERATE,3.0,5.0,Oracle ground truth future (5.0)
2023-06-13 08:57:43,ORACLE_QOS,125,MODERATE,HIGH,8.0,10.0,Oracle ground truth future (10.0)
